#NAME	LK-P2	SB-P1	PM-P3	AW-SD2	UNZ-SD2	DH-SD2	BF-SD3	EP-SD1	AL-SD3	RK-SD1	BS-SD3	DSR-SD3	EK-P3	RvO-P2	KB-P1	WB-P1	NK-P3	IV-P2	GM11	EW-SD1	DG-SD1
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Lewinella	4	5	2	2	5	1	0	2	0	2	1	2	0	0	1	1	0	0	0	2	1
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Membranicola	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Phaeodactylibacter	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Portibacter	0	0	0	7	36	45	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured	5	11	12	6	16	5	0	12	0	4	13	10	9	1	3	3	0	0	0	14	4
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;uncultured;NA	157	32	1	1	4	6	15	3	15	2	7	0	0	3	4	3	0	64	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Amoebophilaceae;Candidatus Amoebophilus	1	47	0	0	2	26	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Amoebophilaceae;uncultured	0	0	0	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Cyclobacterium	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Ekhidna	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Fabibacter	0	0	0	1	5	23	3	0	2	0	7	0	0	0	1	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Fulvivirga	0	1	0	2	4	4	0	0	0	4	8	3	1	157	1	0	0	37	0	2	2
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marinoscillum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marivirga	0	1	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	2	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;NA	0	7	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0
