taxid	Domain	Phylum	Class	Order	Family	Genus
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;NA	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	NA
Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;NA	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	NA
Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;Arctic95B-14;NA	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Arctic95B-14	NA
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Flammeovirgaceae;Flexithrix	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	Flexithrix
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae;Cucumibacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Cucumibacter
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Levilinea	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Levilinea
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Parvularculaceae;uncultured	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae	uncultured
Bacteria;Planctomycetota;ODP123;NA;NA;NA	Bacteria	Planctomycetota	ODP123	NA	NA	NA
Bacteria;Patescibacteria;Microgenomatia;Candidatus Levybacteria;NA;NA	Bacteria	Patescibacteria	Microgenomatia	Candidatus Levybacteria	NA	NA
Bacteria;Proteobacteria;Alphaproteobacteria;Dongiales;Dongiaceae;Dongia	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;SC-I-84;NA	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	NA
